Timestamp,Open,High,Low,Close,Volume,Symbol
"Jan 04, 2021",32810.95,33440.22,28722.76,31971.91,81163475344.00,BTC/USD
"Jan 05, 2021",31977.04,34437.59,30221.19,33992.43,67547324782.00,BTC/USD
"Jan 06, 2021",34013.61,36879.70,33514.03,36824.36,75289433811.00,BTC/USD
"Jan 07, 2021",36833.87,40180.37,36491.19,39371.04,84762141031.00,BTC/USD
"Jan 08, 2021",39381.77,41946.74,36838.64,40797.61,88107519480.00,BTC/USD
"Jan 09, 2021",40788.64,41436.35,38980.88,40254.55,61984162837.00,BTC/USD
"Jan 10, 2021",40254.22,41420.19,35984.63,38356.44,79980747690.00,BTC/USD
"Jan 11, 2021",38346.53,38346.53,30549.60,35566.66,123320567399.00,BTC/USD
"Jan 12, 2021",35516.36,36568.53,32697.98,33922.96,74773277909.00,BTC/USD
"Jan 13, 2021",33915.12,37599.96,32584.67,37316.36,69364315979.00,BTC/USD
"Jan 14, 2021",37325.11,39966.41,36868.56,39187.33,63615990033.00,BTC/USD
"Jan 15, 2021",39156.71,39577.71,34659.59,36825.37,67760757881.00,BTC/USD
"Jan 16, 2021",36821.65,37864.37,35633.55,36178.14,57706187875.00,BTC/USD
"Jan 17, 2021",36163.65,36722.35,34069.32,35791.28,52359854336.00,BTC/USD
